date,latitude,longitude,rainfall_mm
2019-07-24,25.75,84.25,5.962687015533447
2019-07-24,25.75,84.5,1.6704965829849243
2019-07-24,25.75,84.75,14.400528907775879
2019-07-24,25.75,85.0,7.886358737945557
2019-07-24,25.75,85.25,5.703673362731934
2019-07-24,25.75,85.5,22.534276962280273
2019-07-24,25.75,85.75,23.500873565673828
2019-07-24,25.75,86.0,27.857810974121094
2019-07-24,25.75,86.25,12.012516975402832
2019-07-24,25.75,86.5,7.209076881408691
2019-07-24,25.75,86.75,0.6559821367263794
2019-07-24,25.75,87.0,5.015718460083008
2019-07-24,25.75,87.25,7.171548366546631
2019-07-24,25.75,87.5,7.419422626495361
2019-07-24,25.75,87.75,14.258421897888184
2019-07-24,25.75,88.0,25.21604347229004
2019-07-24,25.75,88.25,24.351415634155273
2019-07-24,25.75,88.5,1.8605694770812988
2019-07-24,26.0,83.5,1.8605694770812988
2019-07-24,26.0,83.75,1.58502197265625
2019-07-24,26.0,84.0,0.0
2019-07-24,26.0,84.25,1.592779278755188
2019-07-24,26.0,84.5,8.428634643554688
2019-07-24,26.0,84.75,4.869347095489502
2019-07-24,26.0,85.0,15.799873352050781
2019-07-24,26.0,85.25,31.52312660217285
2019-07-24,26.0,85.5,25.733415603637695
2019-07-24,26.0,85.75,13.890939712524414
2019-07-24,26.0,86.0,34.79002380371094
2019-07-24,26.0,86.25,7.483319282531738
2019-07-24,26.0,86.5,8.088369369506836
2019-07-24,26.0,86.75,0.9489434361457825
2019-07-24,26.0,87.0,1.3558229207992554
2019-07-24,26.0,87.25,4.028799533843994
2019-07-24,26.0,87.5,12.693665504455566
2019-07-24,26.0,87.75,15.01867961883545
2019-07-24,26.0,88.0,30.520055770874023
2019-07-24,26.0,88.25,39.229515075683594
2019-07-24,26.0,88.5,1.7028183937072754
2019-07-24,26.25,83.5,1.7028183937072754
2019-07-24,26.25,83.75,1.3232821226119995
2019-07-24,26.25,84.0,0.39861801266670227
2019-07-24,26.25,84.25,5.918598175048828
2019-07-24,26.25,84.5,16.459083557128906
2019-07-24,26.25,84.75,16.530853271484375
2019-07-24,26.25,85.0,98.09239959716797
2019-07-24,26.25,85.25,76.50383758544922
2019-07-24,26.25,85.5,30.02826690673828
2019-07-24,26.25,85.75,35.36587905883789
2019-07-24,26.25,86.0,63.981483459472656
2019-07-24,26.25,86.25,24.836145401000977
2019-07-24,26.25,86.5,4.953266620635986
2019-07-24,26.25,86.75,0.6899417638778687
2019-07-24,26.25,87.0,1.87339448928833
2019-07-24,26.25,87.25,7.975440502166748
2019-07-24,26.25,87.5,24.641212463378906
2019-07-24,26.25,87.75,35.2763786315918
2019-07-24,26.25,88.0,98.62762451171875
2019-07-24,26.25,88.25,98.64131927490234
2019-07-24,26.25,88.5,0.2870130240917206
2019-07-24,26.5,83.5,0.2870130240917206
2019-07-24,26.5,83.75,0.0
